;;;#of times;de;;;
;1905;8;4;477;4.8;;0.0048
;1909;2.76;4;478;4.8;;0.0048
;1913;9.7;4;479;4.8;;0.0048
;1917;2.44;4;480;4.8;;0.0048
;1921;0.5;4;481;2;;0.002
;1925;0.9;4;482;2;;0.002
;1929;5.5;4;483;2;;0.002
;1933;2;4;484;2;;0.002
;1937;7;4;485;5;;0.005
;1941;2;4;486;5;;0.005
;1945;0.6;4;487;5;;0.005
;1949;0.8;4;488;5;;0.005
;1953;1.2;4;489;2.5;;0.0025
;1957;1;4;490;2.5;;0.0025
;1961;1;4;491;2.5;;0.0025
;1965;0.6;4;492;2.5;;0.0025
;1969;0.63;4;493;2.8;;0.0028
;1973;1;4;494;2.8;;0.0028
;1977;1.4;4;495;2.8;;0.0028
;1981;1.4;4;496;2.8;;0.0028
;1985;1.3;4;497;2.9;;0.0029
;1989;1;4;498;2.9;;0.0029
;1993;0.6;4;499;2.9;;0.0029
;1997;1.5;4;500;2.9;;0.0029
;2001;1.8;4;501;9;;0.009
;2005;1;4;502;9;;0.009
;2009;0.88;4;503;9;;0.009
;2013;1;4;504;9;;0.009
;2017;1.01;4;505;1.8;;0.0018
;2021;1.4;4;506;1.8;;0.0018
;2025;2;4;507;1.8;;0.0018
;2029;2;4;508;1.8;;0.0018
;2033;2.3;4;509;3.3;;0.0033
;2037;2.38;4;510;3.3;;0.0033
;2041;1;4;511;3.3;;0.0033
;2045;3.3;4;512;3.3;;0.0033
;2049;14;4;513;20;;0.02
;2053;6.45;4;514;20;;0.02
;2057;17;4;515;20;;0.02
;2061;5;4;516;20;;0.02
;2065;1.01;4;517;14.8;;0.0148
;2069;2.7;4;518;14.8;;0.0148
;2073;18;4;519;14.8;;0.0148
;2077;4.2;4;520;14.8;;0.0148
;2081;16;4;521;32;;0.032
;2085;3.9;4;522;32;;0.032
;2089;0.7;4;523;32;;0.032
;2093;2.85;4;524;32;;0.032
;2097;17;4;525;8.8;;0.0088
;2101;4;4;526;8.8;;0.0088
;2105;19;4;527;8.8;;0.0088
;2109;3.7;4;528;8.8;;0.0088
;2113;0.7;4;529;1.5;;0.0015
;2117;2.5;4;530;1.5;;0.0015
;2121;15;4;531;1.5;;0.0015
;2125;3.8;4;532;1.5;;0.0015
;2129;13.7;4;533;2.8;;0.0028
;2133;3.2;4;534;2.8;;0.0028
;2137;0.6;4;535;2.8;;0.0028
;2141;0.8;4;536;2.8;;0.0028
;2145;1.9;4;537;17.6;;0.0176
;2149;1.6;4;538;17.6;;0.0176
;2153;1.3;4;539;17.6;;0.0176
;2157;1;4;540;17.6;;0.0176
;2161;0.64;4;541;11;;0.011
;2165;0.7;4;542;11;;0.011
;2169;1.5;4;543;11;;0.011
;2173;1.2;4;544;11;;0.011
;2177;1.1;4;545;19.8;;0.0198
;2181;0.8;4;546;19.8;;0.0198
;2185;1;4;547;19.8;;0.0198
;2189;1.4;4;548;19.8;;0.0198
;2193;13;4;549;6;;0.006
;2197;5;4;550;6;;0.006
;2201;12;4;551;6;;0.006
;2205;4;4;552;6;;0.006
;2209;0.8;4;553;1.2;;0.0012
;2213;1.5;4;554;1.2;;0.0012
;2217;10;4;555;1.2;;0.0012
;2221;3.5;4;556;1.2;;0.0012
;2225;9.6;4;557;2.45;;0.00245
;2229;3.1;4;558;2.45;;0.00245
;2233;0.75;4;559;2.45;;0.00245
;2237;1;4;560;2.45;;0.00245
;2241;6.2;4;561;12.6;;0.0126
;2245;2.4;4;562;12.6;;0.0126
;2249;7;4;563;12.6;;0.0126
;2253;2.5;4;564;12.6;;0.0126
;2257;0.6;4;565;6.2;;0.0062
;2261;0.9;4;566;6.2;;0.0062
;2265;5.8;4;567;6.2;;0.0062
;2269;2.2;4;568;6.2;;0.0062
;2273;6.08;4;569;18.6;;0.0186
;2277;2.2;4;570;18.6;;0.0186
;2281;0.58;4;571;18.6;;0.0186
;2285;0.9;4;572;18.6;;0.0186
;2289;6;4;573;3.2;;0.0032
;2293;2.5;4;574;3.2;;0.0032
;2297;6;4;575;3.2;;0.0032
;2301;2.52;4;576;3.2;;0.0032
;2305;0.5;4;577;1;;0.001
;2309;0.6;4;578;1;;0.001
;2313;1.2;4;579;1;;0.001
;2317;1;4;580;1;;0.001
;2321;1;4;581;2;;0.002
;2325;0.6;4;582;2;;0.002
;2329;0.4;4;583;2;;0.002
;2333;0.85;4;584;2;;0.002
;2337;1;4;585;9.5;;0.0095
;2341;1.4;4;586;9.5;;0.0095
;2345;0.8;4;587;9.5;;0.0095
;2349;1;4;588;9.5;;0.0095
;2353;1;4;589;4.7;;0.0047
;2357;2;4;590;4.7;;0.0047
;2361;10;4;591;4.7;;0.0047
;2365;5.5;4;592;4.7;;0.0047
;2369;10;4;593;8.3;;0.0083
;2373;5.9;4;594;8.3;;0.0083
;2377;1.3;4;595;8.3;;0.0083
;2381;1.6;4;596;8.3;;0.0083
;2385;14.2;4;597;2.3;;0.0023
;2389;5;4;598;2.3;;0.0023
;2393;11;4;599;2.3;;0.0023
;2397;8;4;600;2.3;;0.0023
